Country	Income Group	Value	Area (Inputs FertilizersProduct E All Data (Normalized).csv)	Area Code (ISO2) (Inputs FertilizersProduct E All Data (Normalized).csv)	Element (Inputs FertilizersProduct E All Data (Normalized).csv)	Element Code (Inputs FertilizersProduct E All Data (Normalized).csv)	Item (Inputs FertilizersProduct E All Data (Normalized).csv)	Item Code (Inputs FertilizersProduct E All Data (Normalized).csv)	Unit (Inputs FertilizersProduct E All Data (Normalized).csv)	Year (Inputs FertilizersProduct E All Data (Normalized).csv)	Year Code (Inputs FertilizersProduct E All Data (Normalized).csv)
Tunisia	Lower-middle-income economies	4853.13	Tunisia	TN	Agricultural Use	5157	Urea	4001	tonnes	2005	2005
Thailand	Upper-middle-income economies	247939	Thailand	TH	Agricultural Use	5157	Ammonium sulphate	4002	tonnes	2007	2007
Brazil	Upper-middle-income economies	2189529	Brazil	BR	Agricultural Use	5157	Monoammonium phosphate (MAP)	4023	tonnes	2010	2010
Switzerland	High-income economies	3713	Switzerland	CH	Agricultural Use	5157	Diammonium phosphate (DAP)	4022	tonnes	2007	2007
El Salvador	Lower-middle-income economies	2.63	El Salvador	SV	Agricultural Use	5157	Monoammonium phosphate (MAP)	4023	tonnes	2018	2018
Iran (Islamic Republic of)	Upper-middle-income economies	378162	Iran (Islamic Republic of)	IR	Agricultural Use	5157	Potassium sulphate (sulphate of potash) (SOP)	4017	tonnes	2006	2006
Azerbaijan	Upper-middle-income economies	676	Azerbaijan	AZ	Agricultural Use	5157	Urea	4001	tonnes	2010	2010
Argentina	High-income economies	972607	Argentina	AR	Agricultural Use	5157	Urea	4001	tonnes	2006	2006
North Macedonia	Upper-middle-income economies	491	North Macedonia	MK	Agricultural Use	5157	Monoammonium phosphate (MAP)	4023	tonnes	2009	2009
Indonesia	Lower-middle-income economies	511129	Indonesia	ID	Agricultural Use	5157	Ammonium sulphate	4002	tonnes	2003	2003
Austria	High-income economies	105000	Austria	AT	Agricultural Use	5157	NPK fertilizers	4021	tonnes	2010	2010
North Macedonia	Upper-middle-income economies	29398	North Macedonia	MK	Agricultural Use	5157	NPK fertilizers	4021	tonnes	2007	2007
Croatia	High-income economies	6	Croatia	HR	Agricultural Use	5157	Other NP compounds	4024	tonnes	2004	2004
Japan	High-income economies	82349	Japan	JP	Agricultural Use	5157	Superphosphates above 35%	4012	tonnes	2006	2006
Tunisia	Lower-middle-income economies	573	Tunisia	TN	Agricultural Use	5157	Other NP compounds	4024	tonnes	2005	2005
Ethiopia	Low income economies	148437	Ethiopia	ET	Agricultural Use	5157	Urea	4001	tonnes	2009	2009
Mauritius	Upper-middle-income economies	3052	Mauritius	MU	Agricultural Use	5157	Monoammonium phosphate (MAP)	4023	tonnes	2009	2009
Algeria	Upper-middle-income economies	1000	Algeria	DZ	Agricultural Use	5157	Diammonium phosphate (DAP)	4022	tonnes	2008	2008
Iran (Islamic Republic of)	Upper-middle-income economies	1906310	Iran (Islamic Republic of)	IR	Agricultural Use	5157	Urea	4001	tonnes	2009	2009
Canada	High-income economies	1714000	Canada	CA	Agricultural Use	5157	Urea	4001	tonnes	2006	2006
Antigua and Barbuda	High-income economies	7	Antigua and Barbuda	AG	Agricultural Use	5157	NPK fertilizers	4021	tonnes	2005	2005
Croatia	High-income economies	91892	Croatia	HR	Agricultural Use	5157	Urea	4001	tonnes	2017	2017
Ukraine	Lower-middle-income economies	764	Ukraine	UA	Agricultural Use	5157	PK compounds	4027	tonnes	2010	2010
Philippines	Lower-middle-income economies	122166	Philippines	PH	Agricultural Use	5157	Other NP compounds	4024	tonnes	2009	2009
Jamaica	Upper-middle-income economies	1207	Jamaica	JM	Agricultural Use	5157	NPK fertilizers	4021	tonnes	2003	2003
Chile	High-income economies	100553	Chile	CL	Agricultural Use	5157	Monoammonium phosphate (MAP)	4023	tonnes	2016	2016
Sri Lanka	Lower-middle-income economies	98938	Sri Lanka	LK	Agricultural Use	5157	Potassium chloride (muriate of potash) (MOP)	4016	tonnes	2004	2004
Bangladesh	Lower-middle-income economies	409000	Bangladesh	BD	Agricultural Use	5157	Diammonium phosphate (DAP)	4022	tonnes	2012	2012
Republic of Moldova	Lower-middle-income economies	711	Republic of Moldova	MD	Agricultural Use	5157	Other NP compounds	4024	tonnes	2010	2010
Switzerland	High-income economies	55749	Switzerland	CH	Agricultural Use	5157	NPK fertilizers	4021	tonnes	2011	2011
Iran (Islamic Republic of)	Upper-middle-income economies	314000	Iran (Islamic Republic of)	IR	Agricultural Use	5157	Superphosphates above 35%	4012	tonnes	2015	2015
Suriname	Upper-middle-income economies	609	Suriname	SR	Agricultural Use	5157	Potassium chloride (muriate of potash) (MOP)	4016	tonnes	2007	2007
Senegal	Low income economies	3033	Senegal	SN	Agricultural Use	5157	Potassium chloride (muriate of potash) (MOP)	4016	tonnes	2009	2009
Mozambique	Low income economies	1374	Mozambique	MZ	Agricultural Use	5157	Ammonium nitrate (AN)	4003	tonnes	2006	2006
Denmark	High-income economies	153450	Denmark	DK	Agricultural Use	5157	NPK fertilizers	4021	tonnes	2009	2009
Tunisia	Lower-middle-income economies	35.85	Tunisia	TN	Agricultural Use	5157	PK compounds	4027	tonnes	2005	2005
Republic of Moldova	Lower-middle-income economies	1168	Republic of Moldova	MD	Agricultural Use	5157	Other NP compounds	4024	tonnes	2016	2016
Philippines	Lower-middle-income economies	71307	Philippines	PH	Agricultural Use	5157	Ammonium sulphate	4002	tonnes	2012	2012
Thailand	Upper-middle-income economies	25317.77	Thailand	TH	Agricultural Use	5157	Monoammonium phosphate (MAP)	4023	tonnes	2009	2009
Portugal	High-income economies	7513	Portugal	PT	Agricultural Use	5157	Potassium sulphate (sulphate of potash) (SOP)	4017	tonnes	2004	2004
Iran (Islamic Republic of)	Upper-middle-income economies	2180548	Iran (Islamic Republic of)	IR	Agricultural Use	5157	Urea	4001	tonnes	2008	2008
Chile	High-income economies	100779	Chile	CL	Agricultural Use	5157	Superphosphates above 35%	4012	tonnes	2008	2008
Switzerland	High-income economies	6660	Switzerland	CH	Agricultural Use	5157	"Other nitrogenous fertilizers, n.e.c."	4008	tonnes	2013	2013
Zambia	Lower-middle-income economies	9215	Zambia	ZM	Agricultural Use	5157	Potassium chloride (muriate of potash) (MOP)	4016	tonnes	2004	2004
Saint Kitts and Nevis	High-income economies	200	Saint Kitts and Nevis	KN	Agricultural Use	5157	NPK fertilizers	4021	tonnes	2010	2010
Mauritius	Upper-middle-income economies	1945	Mauritius	MU	Agricultural Use	5157	Potassium sulphate (sulphate of potash) (SOP)	4017	tonnes	2016	2016
Canada	High-income economies	1408000	Canada	CA	Agricultural Use	5157	Urea and ammonium nitrate solutions (UAN)	4006	tonnes	2007	2007
Mauritius	Upper-middle-income economies	14499	Mauritius	MU	Agricultural Use	5157	Urea	4001	tonnes	2012	2012
North Macedonia	Upper-middle-income economies	17310	North Macedonia	MK	Agricultural Use	5157	Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate	4004	tonnes	2005	2005
Uruguay	High-income economies	32736	Uruguay	UY	Agricultural Use	5157	Superphosphates above 35%	4012	tonnes	2007	2007
Iraq	Upper-middle-income economies	10151	Iraq	IQ	Agricultural Use	5157	Diammonium phosphate (DAP)	4022	tonnes	2014	2014
Canada	High-income economies	101000	Canada	CA	Agricultural Use	5157	Diammonium phosphate (DAP)	4022	tonnes	2014	2014
Slovakia	High-income economies	641	Slovakia	SK	Agricultural Use	5157	PK compounds	4027	tonnes	2011	2011
Pakistan	Lower-middle-income economies	1112727	Pakistan	PK	Agricultural Use	5157	Diammonium phosphate (DAP)	4022	tonnes	2003	2003
Panama	High-income economies	6499	Panama	PA	Agricultural Use	5157	Ammonium sulphate	4002	tonnes	2009	2009
United States of America	High-income economies	274144.43	United States of America	US	Agricultural Use	5157	Potassium sulphate (sulphate of potash) (SOP)	4017	tonnes	2011	2011
Switzerland	High-income economies	2145	Switzerland	CH	Agricultural Use	5157	Diammonium phosphate (DAP)	4022	tonnes	2009	2009
Trinidad and Tobago	High-income economies	408.02	Trinidad and Tobago	TT	Agricultural Use	5157	Ammonium sulphate	4002	tonnes	2007	2007
Iraq	Upper-middle-income economies	35000	Iraq	IQ	Agricultural Use	5157	Other NP compounds	4024	tonnes	2007	2007
Switzerland	High-income economies	5241	Switzerland	CH	Agricultural Use	5157	Ammonium sulphate	4002	tonnes	2007	2007
Bangladesh	Lower-middle-income economies	2763000	Bangladesh	BD	Agricultural Use	5157	Urea	4001	tonnes	2008	2008
Belize	Upper-middle-income economies	3081	Belize	BZ	Agricultural Use	5157	Urea	4001	tonnes	2004	2004
Sri Lanka	Lower-middle-income economies	299	Sri Lanka	LK	Agricultural Use	5157	Diammonium phosphate (DAP)	4022	tonnes	2007	2007
French Polynesia	High-income economies	168	French Polynesia	PF	Agricultural Use	5157	Urea	4001	tonnes	2006	2006
Guatemala	Upper-middle-income economies	69163	Guatemala	GT	Agricultural Use	5157	Other NP compounds	4024	tonnes	2003	2003
Niger	Low income economies	7073	Niger	NE	Agricultural Use	5157	NPK fertilizers	4021	tonnes	2005	2005
United Republic of Tanzania	Low income economies	100455	United Republic of Tanzania	TZ	Agricultural Use	5157	Urea	4001	tonnes	2014	2014
Uruguay	High-income economies	136063	Uruguay	UY	Agricultural Use	5157	Urea	4001	tonnes	2008	2008
Chile	High-income economies	343	Chile	CL	Agricultural Use	5157	PK compounds	4027	tonnes	2016	2016
Bolivia (Plurinational State of)	Lower-middle-income economies	25825	Bolivia (Plurinational State of)	BO	Agricultural Use	5157	NPK fertilizers	4021	tonnes	2005	2005
Republic of Moldova	Lower-middle-income economies	35	Republic of Moldova	MD	Agricultural Use	5157	Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate	4004	tonnes	2017	2017
Brazil	Upper-middle-income economies	14515.24	Brazil	BR	Agricultural Use	5157	"Other potassic fertilizers, n.e.c."	4018	tonnes	2013	2013
Bolivia (Plurinational State of)	Lower-middle-income economies	6402.45	Bolivia (Plurinational State of)	BO	Agricultural Use	5157	Ammonium sulphate	4002	tonnes	2011	2011
Mexico	Upper-middle-income economies	681462	Mexico	MX	Agricultural Use	5157	"Ammonia, anhydrous"	4007	tonnes	2018	2018
Bulgaria	Upper-middle-income economies	2520	Bulgaria	BG	Agricultural Use	5157	Potassium sulphate (sulphate of potash) (SOP)	4017	tonnes	2005	2005
Kenya	Lower-middle-income economies	76739	Kenya	KE	Agricultural Use	5157	NPK fertilizers	4021	tonnes	2003	2003
Switzerland	High-income economies	343	Switzerland	CH	Agricultural Use	5157	Other NP compounds	4024	tonnes	2002	2002
Brazil	Upper-middle-income economies	1839159	Brazil	BR	Agricultural Use	5157	Ammonium sulphate	4002	tonnes	2009	2009
Burkina Faso	Low income economies	147	Burkina Faso	BF	Agricultural Use	5157	Other NP compounds	4024	tonnes	2004	2004
Turkey	Upper-middle-income economies	991060	Turkey	TR	Agricultural Use	5157	Urea	4001	tonnes	2009	2009
Uruguay	High-income economies	141974	Uruguay	UY	Agricultural Use	5157	Potassium chloride (muriate of potash) (MOP)	4016	tonnes	2018	2018
Panama	High-income economies	10	Panama	PA	Agricultural Use	5157	Diammonium phosphate (DAP)	4022	tonnes	2004	2004
Belize	Upper-middle-income economies	697	Belize	BZ	Agricultural Use	5157	Ammonium nitrate (AN)	4003	tonnes	2009	2009
Chile	High-income economies	11331	Chile	CL	Agricultural Use	5157	Potassium sulphate (sulphate of potash) (SOP)	4017	tonnes	2012	2012
Mexico	Upper-middle-income economies	406247	Mexico	MX	Agricultural Use	5157	Diammonium phosphate (DAP)	4022	tonnes	2005	2005
El Salvador	Lower-middle-income economies	163828	El Salvador	SV	Agricultural Use	5157	Ammonium sulphate	4002	tonnes	2007	2007
Denmark	High-income economies	18356	Denmark	DK	Agricultural Use	5157	Potassium chloride (muriate of potash) (MOP)	4016	tonnes	2012	2012
Zambia	Lower-middle-income economies	714	Zambia	ZM	Agricultural Use	5157	Potassium sulphate (sulphate of potash) (SOP)	4017	tonnes	2002	2002
Spain	High-income economies	398839	Spain	ES	Agricultural Use	5157	Urea	4001	tonnes	2004	2004
Tunisia	Lower-middle-income economies	1172	Tunisia	TN	Agricultural Use	5157	Potassium chloride (muriate of potash) (MOP)	4016	tonnes	2002	2002
Bhutan	Lower-middle-income economies	1416.34	Bhutan	BT	Agricultural Use	5157	NPK fertilizers	4021	tonnes	2017	2017
Suriname	Upper-middle-income economies	3	Suriname	SR	Agricultural Use	5157	Urea and ammonium nitrate solutions (UAN)	4006	tonnes	2003	2003
Rwanda	Low income economies	3028	Rwanda	RW	Agricultural Use	5157	NPK fertilizers	4021	tonnes	2009	2009
Argentina	High-income economies	63986	Argentina	AR	Agricultural Use	5157	NPK fertilizers	4021	tonnes	2014	2014
Hungary	High-income economies	87730	Hungary	HU	Agricultural Use	5157	"Other nitrogenous fertilizers, n.e.c."	4008	tonnes	2015	2015
Sweden	High-income economies	452	Sweden	SE	Agricultural Use	5157	Potassium sulphate (sulphate of potash) (SOP)	4017	tonnes	2010	2010
Egypt	Lower-middle-income economies	850000	Egypt	EG	Agricultural Use	5157	Ammonium nitrate (AN)	4003	tonnes	2014	2014
Thailand	Upper-middle-income economies	8846	Thailand	TH	Agricultural Use	5157	Potassium sulphate (sulphate of potash) (SOP)	4017	tonnes	2004	2004
Ecuador	Upper-middle-income economies	1573.69	Ecuador	EC	Agricultural Use	5157	Other NP compounds	4024	tonnes	2015	2015
Zambia	Lower-middle-income economies	9059	Zambia	ZM	Agricultural Use	5157	Ammonium nitrate (AN)	4003	tonnes	2003	2003
Hungary	High-income economies	11010	Hungary	HU	Agricultural Use	5157	PK compounds	4027	tonnes	2008	2008
Ireland	High-income economies	79450	Ireland	IE	Agricultural Use	5157	"Other nitrogenous fertilizers, n.e.c."	4008	tonnes	2014	2014
Zambia	Lower-middle-income economies	980	Zambia	ZM	Agricultural Use	5157	Superphosphates above 35%	4012	tonnes	2011	2011
Turkey	Upper-middle-income economies	787384	Turkey	TR	Agricultural Use	5157	NPK fertilizers	4021	tonnes	2005	2005
Bangladesh	Lower-middle-income economies	763000	Bangladesh	BD	Agricultural Use	5157	Diammonium phosphate (DAP)	4022	tonnes	2018	2018
Azerbaijan	Upper-middle-income economies	200	Azerbaijan	AZ	Agricultural Use	5157	Other NP compounds	4024	tonnes	2006	2006
Slovenia	High-income economies	2667	Slovenia	SI	Agricultural Use	5157	"Superphosphates, other"	4013	tonnes	2005	2005
Malawi	Low income economies	102	Malawi	MW	Agricultural Use	5157	Superphosphates above 35%	4012	tonnes	2007	2007
Romania	Upper-middle-income economies	1298	Romania	RO	Agricultural Use	5157	Ammonium sulphate	4002	tonnes	2008	2008
Nepal	Low income economies	105619	Nepal	NP	Agricultural Use	5157	Diammonium phosphate (DAP)	4022	tonnes	2018	2018
Senegal	Low income economies	47	Senegal	SN	Agricultural Use	5157	Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate	4004	tonnes	2011	2011
Uruguay	High-income economies	65	Uruguay	UY	Agricultural Use	5157	Potassium sulphate (sulphate of potash) (SOP)	4017	tonnes	2006	2006
Uruguay	High-income economies	5212	Uruguay	UY	Agricultural Use	5157	Potassium chloride (muriate of potash) (MOP)	4016	tonnes	2006	2006
Belarus	Upper-middle-income economies	971	Belarus	BY	Agricultural Use	5157	Potassium nitrate	4025	tonnes	2002	2002
Morocco	Lower-middle-income economies	17414	Morocco	MA	Agricultural Use	5157	Monoammonium phosphate (MAP)	4023	tonnes	2004	2004
Uganda	Low income economies	248	Uganda	UG	Agricultural Use	5157	Potassium chloride (muriate of potash) (MOP)	4016	tonnes	2009	2009
Greece	High-income economies	37757	Greece	GR	Agricultural Use	5157	Potassium sulphate (sulphate of potash) (SOP)	4017	tonnes	2007	2007
Suriname	Upper-middle-income economies	2063	Suriname	SR	Agricultural Use	5157	Ammonium nitrate (AN)	4003	tonnes	2006	2006
Philippines	Lower-middle-income economies	254429	Philippines	PH	Agricultural Use	5157	Other NP compounds	4024	tonnes	2007	2007
Czechia	High-income economies	37337	Czechia	CZ	Agricultural Use	5157	Ammonium sulphate	4002	tonnes	2012	2012
Côte d'Ivoire	Lower-middle-income economies	62826	C?te d'Ivoire	CI	Agricultural Use	5157	Urea	4001	tonnes	2002	2002
France	High-income economies	357485	France	FR	Agricultural Use	5157	PK compounds	4027	tonnes	2016	2016
Dominican Republic	Upper-middle-income economies	6910	Dominican Republic	DO	Agricultural Use	5157	Ammonium nitrate (AN)	4003	tonnes	2014	2014
Chile	High-income economies	4278	Chile	CL	Agricultural Use	5157	Ammonium nitrate (AN)	4003	tonnes	2015	2015
Switzerland	High-income economies	1558	Switzerland	CH	Agricultural Use	5157	Potassium sulphate (sulphate of potash) (SOP)	4017	tonnes	2005	2005
Paraguay	Upper-middle-income economies	7507	Paraguay	PY	Agricultural Use	5157	Monoammonium phosphate (MAP)	4023	tonnes	2011	2011
France	High-income economies	138741	France	FR	Agricultural Use	5157	Ammonium sulphate	4002	tonnes	2018	2018
Lebanon	Upper-middle-income economies	60000	Lebanon	LB	Agricultural Use	5157	"Superphosphates, other"	4013	tonnes	2011	2011
Indonesia	Lower-middle-income economies	5411462	Indonesia	ID	Agricultural Use	5157	Urea	4001	tonnes	2009	2009
Brazil	Upper-middle-income economies	2117597	Brazil	BR	Agricultural Use	5157	Monoammonium phosphate (MAP)	4023	tonnes	2005	2005
Saint Kitts and Nevis	High-income economies	200	Saint Kitts and Nevis	KN	Agricultural Use	5157	NPK fertilizers	4021	tonnes	2011	2011
Egypt	Lower-middle-income economies	400000	Egypt	EG	Agricultural Use	5157	NPK fertilizers	4021	tonnes	2013	2013
Dominican Republic	Upper-middle-income economies	42125.39	Dominican Republic	DO	Agricultural Use	5157	Diammonium phosphate (DAP)	4022	tonnes	2008	2008
Tunisia	Lower-middle-income economies	922	Tunisia	TN	Agricultural Use	5157	"Other potassic fertilizers, n.e.c."	4018	tonnes	2006	2006
Peru	Upper-middle-income economies	323103	Peru	PE	Agricultural Use	5157	Urea	4001	tonnes	2004	2004
French Polynesia	High-income economies	123	French Polynesia	PF	Agricultural Use	5157	Urea	4001	tonnes	2005	2005
Côte d'Ivoire	Lower-middle-income economies	40566	C?te d'Ivoire	CI	Agricultural Use	5157	Ammonium sulphate	4002	tonnes	2004	2004
Venezuela (Bolivarian Republic of)	Upper-middle-income economies	3478	Venezuela (Bolivarian Republic of)	VE	Agricultural Use	5157	Potassium sulphate (sulphate of potash) (SOP)	4017	tonnes	2012	2012
Mozambique	Low income economies	85	Mozambique	MZ	Agricultural Use	5157	Monoammonium phosphate (MAP)	4023	tonnes	2009	2009
Bolivia (Plurinational State of)	Lower-middle-income economies	4296.24	Bolivia (Plurinational State of)	BO	Agricultural Use	5157	Monoammonium phosphate (MAP)	4023	tonnes	2007	2007
Brazil	Upper-middle-income economies	302551	Brazil	BR	Agricultural Use	5157	Ammonium sulphate	4002	tonnes	2014	2014
Papua New Guinea	Lower-middle-income economies	60	Papua New Guinea	PG	Agricultural Use	5157	Other NP compounds	4024	tonnes	2002	2002
India	Lower-middle-income economies	5860	India	IN	Agricultural Use	5157	Superphosphates above 35%	4012	tonnes	2015	2015
Pakistan	Lower-middle-income economies	64963	Pakistan	PK	Agricultural Use	5157	Superphosphates above 35%	4012	tonnes	2005	2005
Turkey	Upper-middle-income economies	561770.67	Turkey	TR	Agricultural Use	5157	Diammonium phosphate (DAP)	4022	tonnes	2010	2010
Malawi	Low income economies	57481	Malawi	MW	Agricultural Use	5157	Urea	4001	tonnes	2003	2003
Kenya	Lower-middle-income economies	18855	Kenya	KE	Agricultural Use	5157	Other NP compounds	4024	tonnes	2007	2007
Argentina	High-income economies	36400	Argentina	AR	Agricultural Use	5157	Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate	4004	tonnes	2006	2006
Lebanon	Upper-middle-income economies	2391	Lebanon	LB	Agricultural Use	5157	Potassium nitrate	4025	tonnes	2004	2004
United States of America	High-income economies	55628.9	United States of America	US	Agricultural Use	5157	"Superphosphates, other"	4013	tonnes	2018	2018
Belarus	Upper-middle-income economies	640480.99	Belarus	BY	Agricultural Use	5157	Urea	4001	tonnes	2008	2008
Mauritius	Upper-middle-income economies	5014	Mauritius	MU	Agricultural Use	5157	Ammonium sulphate	4002	tonnes	2018	2018
Mauritius	Upper-middle-income economies	177	Mauritius	MU	Agricultural Use	5157	Monoammonium phosphate (MAP)	4023	tonnes	2014	2014
Turkey	Upper-middle-income economies	113009	Turkey	TR	Agricultural Use	5157	Monoammonium phosphate (MAP)	4023	tonnes	2005	2005
Argentina	High-income economies	42440	Argentina	AR	Agricultural Use	5157	"Other phosphatic fertilizers, n.e.c."	4014	tonnes	2018	2018
Romania	Upper-middle-income economies	7	Romania	RO	Agricultural Use	5157	"Superphosphates, other"	4013	tonnes	2008	2008
Bolivia (Plurinational State of)	Lower-middle-income economies	288	Bolivia (Plurinational State of)	BO	Agricultural Use	5157	Ammonium sulphate	4002	tonnes	2004	2004
Portugal	High-income economies	5879.35	Portugal	PT	Agricultural Use	5157	Ammonium nitrate (AN)	4003	tonnes	2011	2011
Hungary	High-income economies	1751	Hungary	HU	Agricultural Use	5157	Potassium sulphate (sulphate of potash) (SOP)	4017	tonnes	2008	2008
Tunisia	Lower-middle-income economies	192779.61	Tunisia	TN	Agricultural Use	5157	Diammonium phosphate (DAP)	4022	tonnes	2013	2013
Burundi	Low income economies	2339.65	Burundi	BI	Agricultural Use	5157	Diammonium phosphate (DAP)	4022	tonnes	2016	2016
India	Lower-middle-income economies	3931620	India	IN	Agricultural Use	5157	Potassium chloride (muriate of potash) (MOP)	4016	tonnes	2010	2010
Ghana	Lower-middle-income economies	117	Ghana	GH	Agricultural Use	5157	PK compounds	4027	tonnes	2011	2011
Costa Rica	Upper-middle-income economies	11999	Costa Rica	CR	Agricultural Use	5157	NPK fertilizers	4021	tonnes	2009	2009
Kenya	Lower-middle-income economies	623	Kenya	KE	Agricultural Use	5157	Ammonium nitrate (AN)	4003	tonnes	2004	2004
Albania	Upper-middle-income economies	19490	Albania	AL	Agricultural Use	5157	Superphosphates above 35%	4012	tonnes	2010	2010
Azerbaijan	Upper-middle-income economies	112	Azerbaijan	AZ	Agricultural Use	5157	Potassium sulphate (sulphate of potash) (SOP)	4017	tonnes	2004	2004
Malawi	Low income economies	4108	Malawi	MW	Agricultural Use	5157	Ammonium nitrate (AN)	4003	tonnes	2010	2010
Angola	Lower-middle-income economies	20.34	Angola	AO	Agricultural Use	5157	Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate	4004	tonnes	2011	2011
United Kingdom of Great Britain and Northern Ireland	High-income economies	2506100	United Kingdom of Great Britain and Northern Ireland	GB	Agricultural Use	5157	NPK fertilizers	4021	tonnes	2003	2003
Dominican Republic	Upper-middle-income economies	51643	Dominican Republic	DO	Agricultural Use	5157	Superphosphates above 35%	4012	tonnes	2013	2013
Papua New Guinea	Lower-middle-income economies	122	Papua New Guinea	PG	Agricultural Use	5157	Potassium sulphate (sulphate of potash) (SOP)	4017	tonnes	2002	2002
Ireland	High-income economies	1575	Ireland	IE	Agricultural Use	5157	Fertilizers n.e.c.	4030	tonnes	2015	2015
Malawi	Low income economies	739	Malawi	MW	Agricultural Use	5157	Urea and ammonium nitrate solutions (UAN)	4006	tonnes	2010	2010
North Macedonia	Upper-middle-income economies	19236.31	North Macedonia	MK	Agricultural Use	5157	Ammonium nitrate (AN)	4003	tonnes	2008	2008
Turkey	Upper-middle-income economies	59374	Turkey	TR	Agricultural Use	5157	Potassium sulphate (sulphate of potash) (SOP)	4017	tonnes	2004	2004
Argentina	High-income economies	112201	Argentina	AR	Agricultural Use	5157	Superphosphates above 35%	4012	tonnes	2014	2014
Yemen	Low income economies	52	Yemen	YE	Agricultural Use	5157	Potassium chloride (muriate of potash) (MOP)	4016	tonnes	2005	2005
Switzerland	High-income economies	2502	Switzerland	CH	Agricultural Use	5157	Other NP compounds	4024	tonnes	2011	2011
Sweden	High-income economies	2997	Sweden	SE	Agricultural Use	5157	Urea and ammonium nitrate solutions (UAN)	4006	tonnes	2014	2014
Ireland	High-income economies	5030	Ireland	IE	Agricultural Use	5157	Superphosphates above 35%	4012	tonnes	2011	2011
Algeria	Upper-middle-income economies	9000	Algeria	DZ	Agricultural Use	5157	Diammonium phosphate (DAP)	4022	tonnes	2016	2016
Colombia	Upper-middle-income economies	131755	Colombia	CO	Agricultural Use	5157	Diammonium phosphate (DAP)	4022	tonnes	2002	2002
Hungary	High-income economies	282574	Hungary	HU	Agricultural Use	5157	Ammonium nitrate (AN)	4003	tonnes	2011	2011
Pakistan	Lower-middle-income economies	7378	Pakistan	PK	Agricultural Use	5157	Potassium chloride (muriate of potash) (MOP)	4016	tonnes	2009	2009
India	Lower-middle-income economies	24337660	India	IN	Agricultural Use	5157	Urea	4001	tonnes	2006	2006
Iran (Islamic Republic of)	Upper-middle-income economies	2281	Iran (Islamic Republic of)	IR	Agricultural Use	5157	NPK fertilizers	4021	tonnes	2015	2015
Nepal	Low income economies	2476	Nepal	NP	Agricultural Use	5157	Potassium sulphate (sulphate of potash) (SOP)	4017	tonnes	2011	2011
Chile	High-income economies	41008	Chile	CL	Agricultural Use	5157	Diammonium phosphate (DAP)	4022	tonnes	2009	2009
Switzerland	High-income economies	1558	Switzerland	CH	Agricultural Use	5157	Diammonium phosphate (DAP)	4022	tonnes	2008	2008
Philippines	Lower-middle-income economies	124375	Philippines	PH	Agricultural Use	5157	Diammonium phosphate (DAP)	4022	tonnes	2002	2002
Ukraine	Lower-middle-income economies	1219202	Ukraine	UA	Agricultural Use	5157	Ammonium nitrate (AN)	4003	tonnes	2018	2018
Argentina	High-income economies	75021	Argentina	AR	Agricultural Use	5157	Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate	4004	tonnes	2010	2010
Denmark	High-income economies	24436	Denmark	DK	Agricultural Use	5157	Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate	4004	tonnes	2011	2011
Denmark	High-income economies	24436	Denmark	DK	Agricultural Use	5157	Ammonium nitrate (AN)	4003	tonnes	2011	2011
Ireland	High-income economies	99182	Ireland	IE	Agricultural Use	5157	Potassium chloride (muriate of potash) (MOP)	4016	tonnes	2010	2010
Madagascar	Low income economies	164	Madagascar	MG	Agricultural Use	5157	Ammonium sulphate	4002	tonnes	2005	2005
Turkey	Upper-middle-income economies	727056	Turkey	TR	Agricultural Use	5157	Ammonium sulphate	4002	tonnes	2017	2017
North Macedonia	Upper-middle-income economies	39	North Macedonia	MK	Agricultural Use	5157	Potassium nitrate	4025	tonnes	2004	2004
Trinidad and Tobago	High-income economies	20	Trinidad and Tobago	TT	Agricultural Use	5157	Superphosphates above 35%	4012	tonnes	2005	2005
Papua New Guinea	Lower-middle-income economies	4	Papua New Guinea	PG	Agricultural Use	5157	Other NP compounds	4024	tonnes	2003	2003
Latvia	High-income economies	5728	Latvia	LV	Agricultural Use	5157	Ammonium sulphate	4002	tonnes	2008	2008
Egypt	Lower-middle-income economies	128000	Egypt	EG	Agricultural Use	5157	NPK fertilizers	4021	tonnes	2006	2006
Romania	Upper-middle-income economies	1596	Romania	RO	Agricultural Use	5157	NPK fertilizers	4021	tonnes	2009	2009
Malawi	Low income economies	6197	Malawi	MW	Agricultural Use	5157	Ammonium sulphate	4002	tonnes	2009	2009
Czechia	High-income economies	1067	Czechia	CZ	Agricultural Use	5157	PK compounds	4027	tonnes	2009	2009
Rwanda	Low income economies	25	Rwanda	RW	Agricultural Use	5157	Potassium sulphate (sulphate of potash) (SOP)	4017	tonnes	2005	2005
Uruguay	High-income economies	20817.85	Uruguay	UY	Agricultural Use	5157	NPK fertilizers	4021	tonnes	2018	2018
Nepal	Low income economies	42262	Nepal	NP	Agricultural Use	5157	Urea	4001	tonnes	2006	2006
