Country,Income_Group,ISO2,ISO3,prod_yield,Year,Fertilizers_y,prod_yield_value,Pesticide_x
Slovenia,High-income economies,SI,SVN,Value Yield,2014,132929,3564882,1010
Madagascar,Low income economies,MG,MDG,Value Prod,2005,35884,83940934,115
Madagascar,Low income economies,MG,MDG,Value Yield,2005,35884,4372256,115
Ireland,High-income economies,IE,IRL,Value Prod,2012,1305766,13458080,2925
Ireland,High-income economies,IE,IRL,Value Yield,2012,1305766,8146872,2925
Central African Republic,Low income economies,CF,CAF,Value Prod,2011,570,12158466,23
Central African Republic,Low income economies,CF,CAF,Value Yield,2011,570,1684938,23
Panama,High-income economies,PA,PAN,Value Prod,2003,62149,19416558,2448
Panama,High-income economies,PA,PAN,Value Yield,2003,62149,6458646,2448
Nepal,Low income economies,NP,NPL,Value Prod,2018,340923,156875292,574
Nepal,Low income economies,NP,NPL,Value Yield,2018,340923,7017955,574
Senegal,Low income economies,SN,SEN,Value Prod,2002,20,16941869,328
Senegal,Low income economies,SN,SEN,Value Yield,2002,20,10310559,328
Bulgaria,Upper-middle-income economies,BG,BGR,Value Prod,2008,164702,41822035,1846
Bulgaria,Upper-middle-income economies,BG,BGR,Value Yield,2008,164702,2387862,1846
Kenya,Lower-middle-income economies,KE,KEN,Value Prod,2006,358281,121283162,1578
Kenya,Lower-middle-income economies,KE,KEN,Value Yield,2006,358281,10073966,1578
Dominican Republic,Upper-middle-income economies,DO,DOM,Value Prod,2009,190190,60040484,5975
Dominican Republic,Upper-middle-income economies,DO,DOM,Value Yield,2009,190190,7551229,5975
Fiji,Upper-middle-income economies,FJ,FJI,Value Prod,2004,34874,18999354,442
Fiji,Upper-middle-income economies,FJ,FJI,Value Yield,2004,34874,4838088,442
Argentina,High-income economies,AR,ARG,Value Prod,2004,2823457,500054058,127773
Argentina,High-income economies,AR,ARG,Value Yield,2004,2823457,10940545,127773
Argentina,High-income economies,AR,ARG,Value Prod,2017,3727434,780322032,196009
Argentina,High-income economies,AR,ARG,Value Yield,2017,3727434,9328025,196009
Morocco,Lower-middle-income economies,MA,MAR,Value Prod,2012,844745,144493972,13697
Morocco,Lower-middle-income economies,MA,MAR,Value Yield,2012,844745,10158617,13697
United Republic of Tanzania,Low income economies,TZ,TZA,Value Prod,2007,143981,156529639,1
United Republic of Tanzania,Low income economies,TZ,TZA,Value Yield,2007,143981,7125223,1
Samoa,Upper-middle-income economies,WS,WSM,Value Prod,2008,103,370025,52
Samoa,Upper-middle-income economies,WS,WSM,Value Yield,2008,103,1434280,52
Czechia,High-income economies,CZ,CZE,Value Prod,2018,1296185,70641414,4092
Czechia,High-income economies,CZ,CZE,Value Yield,2018,1296185,8237201,4092
Switzerland,High-income economies,CH,CHE,Value Prod,2013,224251.43,20291184,2346
Switzerland,High-income economies,CH,CHE,Value Yield,2013,224251.43,9133656,2346
Lithuania,High-income economies,LT,LTU,Value Prod,2005,1105034,24487195,1049
Lithuania,High-income economies,LT,LTU,Value Yield,2005,1105034,3650295,1049
Dominican Republic,Upper-middle-income economies,DO,DOM,Value Prod,2015,291472,76492640,5028
Dominican Republic,Upper-middle-income economies,DO,DOM,Value Yield,2015,291472,8080758,5028
Papua New Guinea,Lower-middle-income economies,PG,PNG,Value Prod,2009,2624,27558576,105
Papua New Guinea,Lower-middle-income economies,PG,PNG,Value Yield,2009,2624,4422426,105
Slovakia,High-income economies,SK,SVK,Value Prod,2012,422029,25751520,1564
Slovakia,High-income economies,SK,SVK,Value Yield,2012,422029,5133936,1564
Denmark,High-income economies,DK,DNK,Value Prod,2013,382648,80484864,4118
Denmark,High-income economies,DK,DNK,Value Yield,2013,382648,8917944,4118
Ethiopia,Low income economies,ET,ETH,Value Prod,2005,171428,128714201,1401
Ethiopia,Low income economies,ET,ETH,Value Yield,2005,171428,10412703,1401
Colombia,Upper-middle-income economies,CO,COL,Value Prod,2018,696747.14,406421134,37773
Colombia,Upper-middle-income economies,CO,COL,Value Yield,2018,696747.14,9664102,37773
Colombia,Upper-middle-income economies,CO,COL,Value Prod,2007,2665189.22,391461259,82439
Colombia,Upper-middle-income economies,CO,COL,Value Yield,2007,2665189.22,10925047,82439
Zambia,Lower-middle-income economies,ZM,ZMB,Value Prod,2002,150855,26775588,1670
Zambia,Lower-middle-income economies,ZM,ZMB,Value Yield,2002,150855,7631658,1670
Ghana,Lower-middle-income economies,GH,GHA,Value Prod,2005,60810,153652947,175
Ghana,Lower-middle-income economies,GH,GHA,Value Yield,2005,60810,4714647,175
Ghana,Lower-middle-income economies,GH,GHA,Value Prod,2016,1051948.28,258462008,392
Ghana,Lower-middle-income economies,GH,GHA,Value Yield,2016,1051948.28,6700057,392
Dominican Republic,Upper-middle-income economies,DO,DOM,Value Prod,2012,167665,70361158,6452
Dominican Republic,Upper-middle-income economies,DO,DOM,Value Yield,2012,167665,7825062,6452
Greece,High-income economies,GR,GRC,Value Prod,2010,909984,105094493,5608
Greece,High-income economies,GR,GRC,Value Yield,2010,909984,10372383,5608
Kyrgyzstan,Lower-middle-income economies,KG,KGZ,Value Prod,2018,27365,38954734,607
Kyrgyzstan,Lower-middle-income economies,KG,KGZ,Value Yield,2018,27365,7774774,607
Algeria,Upper-middle-income economies,DZ,DZA,Value Prod,2014,424893.27,126088980,7152
Algeria,Upper-middle-income economies,DZ,DZA,Value Yield,2014,424893.27,6002409,7152
Mexico,Upper-middle-income economies,MX,MEX,Value Prod,2003,3410888,790854428,16285
Mexico,Upper-middle-income economies,MX,MEX,Value Yield,2003,3410888,10149643,16285
India,Lower-middle-income economies,IN,IND,Value Prod,2015,85969410,6464731238,56120
India,Lower-middle-income economies,IN,IND,Value Yield,2015,85969410,9589349,56120
Dominican Republic,Upper-middle-income economies,DO,DOM,Value Prod,2013,174445,72254329,6519
Dominican Republic,Upper-middle-income economies,DO,DOM,Value Yield,2013,174445,7778022,6519
Lebanon,Upper-middle-income economies,LB,LBN,Value Prod,2011,396862,16334367,1816
Lebanon,Upper-middle-income economies,LB,LBN,Value Yield,2011,396862,9455754,1816
Bhutan,Lower-middle-income economies,BT,BTN,Value Prod,2003,2686,2039796,5
Bhutan,Lower-middle-income economies,BT,BTN,Value Yield,2003,2686,4241874,5
"China, Taiwan Province of",High-income economies,TW,TWN,Value Prod,2016,945344,47962794,9504
"China, Taiwan Province of",High-income economies,TW,TWN,Value Yield,2016,945344,8306328,9504
Malawi,Low income economies,MW,MWI,Value Prod,2016,239445.66,141452773,2358
Malawi,Low income economies,MW,MWI,Value Yield,2016,239445.66,11312140,2358
Tunisia,Lower-middle-income economies,TN,TUN,Value Prod,2013,471642.02,47273373,1003
Tunisia,Lower-middle-income economies,TN,TUN,Value Yield,2013,471642.02,8173802,1003
Canada,High-income economies,CA,CAN,Value Prod,2010,7690199,274925250,61050
Canada,High-income economies,CA,CAN,Value Yield,2010,7690199,6019725,61050
Croatia,High-income economies,HR,HRV,Value Prod,2013,286482,42530761,1836
Croatia,High-income economies,HR,HRV,Value Yield,2013,286482,9358076,1836
Ecuador,Upper-middle-income economies,EC,ECU,Value Prod,2009,464473,124864236,9667
Ecuador,Upper-middle-income economies,EC,ECU,Value Yield,2009,464473,6842046,9667
Papua New Guinea,Lower-middle-income economies,PG,PNG,Value Prod,2004,49590,25628880,105
Papua New Guinea,Lower-middle-income economies,PG,PNG,Value Yield,2004,49590,5178882,105
Nepal,Low income economies,NP,NPL,Value Prod,2004,165797,104255648,153
Nepal,Low income economies,NP,NPL,Value Yield,2004,165797,6055560,153
Senegal,Low income economies,SN,SEN,Value Prod,2016,118000,34454203,831
Senegal,Low income economies,SN,SEN,Value Yield,2016,118000,11055793,831
Philippines,Lower-middle-income economies,PH,PHL,Value Prod,2010,1949195,458714711,22910
Philippines,Lower-middle-income economies,PH,PHL,Value Yield,2010,1949195,6636903,22910
Nepal,Low income economies,NP,NPL,Value Prod,2014,280723,147601391,549
Nepal,Low income economies,NP,NPL,Value Yield,2014,280723,6687324,549
Lebanon,Upper-middle-income economies,LB,LBN,Value Prod,2002,53994,15147870,1816
Lebanon,Upper-middle-income economies,LB,LBN,Value Yield,2002,53994,6391469,1816
Bhutan,Lower-middle-income economies,BT,BTN,Value Prod,2010,2479,2884595,7
Bhutan,Lower-middle-income economies,BT,BTN,Value Yield,2010,2479,4822503,7
India,Lower-middle-income economies,IN,IND,Value Prod,2006,40659710,4964205267,37423
India,Lower-middle-income economies,IN,IND,Value Yield,2006,40659710,8523081,37423
Mexico,Upper-middle-income economies,MX,MEX,Value Prod,2006,707900,832159818,38403
Mexico,Upper-middle-income economies,MX,MEX,Value Yield,2006,707900,10344096,38403
Kazakhstan,Upper-middle-income economies,KZ,KAZ,Value Prod,2005,240623,138447918,3667
Kazakhstan,Upper-middle-income economies,KZ,KAZ,Value Yield,2005,240623,5063037,3667
Algeria,Upper-middle-income economies,DZ,DZA,Value Prod,2011,284231.84,111567978,7612
Algeria,Upper-middle-income economies,DZ,DZA,Value Yield,2011,284231.84,5176633,7612
Turkey,Upper-middle-income economies,TR,TUR,Value Prod,2015,3789400,762648684,39026
Turkey,Upper-middle-income economies,TR,TUR,Value Yield,2015,3789400,12231842,39026
Turkey,Upper-middle-income economies,TR,TUR,Value Prod,2017,6144749,812289471,54098
Turkey,Upper-middle-income economies,TR,TUR,Value Yield,2017,6144749,12955943,54098
Canada,High-income economies,CA,CAN,Value Prod,2011,7291446,286415400,62107
Canada,High-income economies,CA,CAN,Value Yield,2011,7291446,6551655,62107
Turkey,Upper-middle-income economies,TR,TUR,Value Prod,2004,6554458,642702487,28831
Turkey,Upper-middle-income economies,TR,TUR,Value Yield,2004,6554458,9673860,28831
Nepal,Low income economies,NP,NPL,Value Prod,2005,82409,107212147,128
Nepal,Low income economies,NP,NPL,Value Yield,2005,82409,6231421,128
India,Lower-middle-income economies,IN,IND,Value Prod,2016,54091410,6479896136,50410
India,Lower-middle-income economies,IN,IND,Value Yield,2016,54091410,9399180,50410
India,Lower-middle-income economies,IN,IND,Value Prod,2005,35382840,4507903253,35342
India,Lower-middle-income economies,IN,IND,Value Yield,2005,35382840,8423114,35342
North Macedonia,Upper-middle-income economies,MK,MKD,Value Prod,2004,62980,11142042,262
North Macedonia,Upper-middle-income economies,MK,MKD,Value Yield,2004,62980,4354788,262
Nicaragua,Lower-middle-income economies,NI,NIC,Value Prod,2004,22560,32382120,4582
Nicaragua,Lower-middle-income economies,NI,NIC,Value Yield,2004,22560,6948186,4582
Switzerland,High-income economies,CH,CHE,Value Prod,2012,181744,23456940,2266
Switzerland,High-income economies,CH,CHE,Value Yield,2012,181744,10955820,2266
Japan,High-income economies,JP,JPN,Value Prod,2006,3602487,261709553,65248
Japan,High-income economies,JP,JPN,Value Yield,2006,3602487,10808154,65248
Zimbabwe,Low income economies,ZW,ZWE,Value Prod,2008,68325.91,28518084,3235
Zimbabwe,Low income economies,ZW,ZWE,Value Yield,2008,68325.91,6893747,3235
Indonesia,Lower-middle-income economies,ID,IDN,Value Prod,2006,6752837,1023973762,1597
Indonesia,Lower-middle-income economies,ID,IDN,Value Yield,2006,6752837,10390065,1597
Bolivia (Plurinational State of),Lower-middle-income economies,BO,BOL,Value Prod,2015,325,96648958,14252
Bolivia (Plurinational State of),Lower-middle-income economies,BO,BOL,Value Yield,2015,325,5733280,14252
Madagascar,Low income economies,MG,MDG,Value Prod,2003,13450,68017110,147
Madagascar,Low income economies,MG,MDG,Value Yield,2003,13450,4197256,147
Czechia,High-income economies,CZ,CZE,Value Prod,2008,465168,75213726,5440
Czechia,High-income economies,CZ,CZE,Value Yield,2008,465168,6921198,5440
Chile,High-income economies,CL,CHL,Value Prod,2015,1173665,111496903,9831
Chile,High-income economies,CL,CHL,Value Yield,2015,1173665,13581498,9831
Italy,High-income economies,IT,ITA,Value Prod,2011,2038883,424244009,70690
Italy,High-income economies,IT,ITA,Value Yield,2011,2038883,10755416,70690
Bangladesh,Lower-middle-income economies,BD,BGD,Value Prod,2008,3648627,410031864,12403
Bangladesh,Lower-middle-income economies,BD,BGD,Value Yield,2008,3648627,5338025,12403
Uruguay,High-income economies,UY,URY,Value Prod,2012,958500,37533174,23506
Uruguay,High-income economies,UY,URY,Value Yield,2012,958500,8246982,23506
French Polynesia,High-income economies,PF,PYF,Value Prod,2011,1707,183085,43
French Polynesia,High-income economies,PF,PYF,Value Yield,2011,1707,6318275,43
Slovenia,High-income economies,SI,SVN,Value Prod,2011,124094.2,5190715,1122
Slovenia,High-income economies,SI,SVN,Value Yield,2011,124094.2,3870786,1122
Republic of Moldova,Lower-middle-income economies,MD,MDA,Value Prod,2015,124354,25408446,2739
Republic of Moldova,Lower-middle-income economies,MD,MDA,Value Yield,2015,124354,2885802,2739
Fiji,Upper-middle-income economies,FJ,FJI,Value Prod,2002,40544,20173266,392
Fiji,Upper-middle-income economies,FJ,FJI,Value Yield,2002,40544,4908504,392
Tunisia,Lower-middle-income economies,TN,TUN,Value Prod,2008,424994.33,36159108,995
Tunisia,Lower-middle-income economies,TN,TUN,Value Yield,2008,424994.33,4077199,995
Chile,High-income economies,CL,CHL,Value Prod,2004,1163328,106393637,9831
Chile,High-income economies,CL,CHL,Value Yield,2004,1163328,11439918,9831
Kyrgyzstan,Lower-middle-income economies,KG,KGZ,Value Prod,2017,25597,38060302,560
Kyrgyzstan,Lower-middle-income economies,KG,KGZ,Value Yield,2017,25597,7462574,560
Egypt,Lower-middle-income economies,EG,EGY,Value Prod,2016,7304087,627230002,8044
Egypt,Lower-middle-income economies,EG,EGY,Value Yield,2016,7304087,12799514,8044
Guinea,Low income economies,GN,GIN,Value Prod,2002,6329,35700420,279
Guinea,Low income economies,GN,GIN,Value Yield,2002,6329,5098261,279
Switzerland,High-income economies,CH,CHE,Value Prod,2003,189820,19829280,1477
Switzerland,High-income economies,CH,CHE,Value Yield,2003,189820,9212694,1477
India,Lower-middle-income economies,IN,IND,Value Prod,2010,51769850,5543439531,40094
India,Lower-middle-income economies,IN,IND,Value Yield,2010,51769850,9067730,40094
Bhutan,Lower-middle-income economies,BT,BTN,Value Prod,2006,2222,2867382,6
Bhutan,Lower-middle-income economies,BT,BTN,Value Yield,2006,2222,4293513,6
Lebanon,Upper-middle-income economies,LB,LBN,Value Prod,2014,76000,19467007,1816
Lebanon,Upper-middle-income economies,LB,LBN,Value Yield,2014,76000,9060429,1816
Georgia,Lower-middle-income economies,GE,GEO,Value Prod,2016,6600,8161938,1481
Georgia,Lower-middle-income economies,GE,GEO,Value Yield,2016,6600,2312555,1481
Republic of Moldova,Lower-middle-income economies,MD,MDA,Value Prod,2009,50391,24922530,2308
Republic of Moldova,Lower-middle-income economies,MD,MDA,Value Yield,2009,50391,2650524,2308
Georgia,Lower-middle-income economies,GE,GEO,Value Prod,2005,75305,14579328,3081
Georgia,Lower-middle-income economies,GE,GEO,Value Yield,2005,75305,2388638,3081
Turkey,Upper-middle-income economies,TR,TUR,Value Prod,2011,6011445.34,716139704,39534
Turkey,Upper-middle-income economies,TR,TUR,Value Yield,2011,6011445.34,11849838,39534
Ireland,High-income economies,IE,IRL,Value Prod,2004,1547902,25957515,2978
Ireland,High-income economies,IE,IRL,Value Yield,2004,1547902,9460170,2978
Panama,High-income economies,PA,PAN,Value Prod,2011,46730.33,20621136,1852
Panama,High-income economies,PA,PAN,Value Yield,2011,46730.33,6697806,1852
Dominican Republic,Upper-middle-income economies,DO,DOM,Value Prod,2008,193725.72,56455693,5409
Dominican Republic,Upper-middle-income economies,DO,DOM,Value Yield,2008,193725.72,7250537,5409
Mexico,Upper-middle-income economies,MX,MEX,Value Prod,2009,3619772,823611061,50328
Mexico,Upper-middle-income economies,MX,MEX,Value Yield,2009,3619772,10151260,50328
El Salvador,Lower-middle-income economies,SV,SLV,Value Prod,2005,270183,41792541,1923
El Salvador,Lower-middle-income economies,SV,SLV,Value Yield,2005,270183,10590860,1923
Lebanon,Upper-middle-income economies,LB,LBN,Value Prod,2013,76000,18138169,1816
Lebanon,Upper-middle-income economies,LB,LBN,Value Yield,2013,76000,8571388,1816
Senegal,Low income economies,SN,SEN,Value Prod,2010,62875,27155835,696
Senegal,Low income economies,SN,SEN,Value Yield,2010,62875,10922555,696
Republic of Moldova,Lower-middle-income economies,MD,MDA,Value Prod,2011,93931,28970184,2454
Republic of Moldova,Lower-middle-income economies,MD,MDA,Value Yield,2011,93931,3374130,2454
Bhutan,Lower-middle-income economies,BT,BTN,Value Prod,2016,3317.83,3082422,12
Bhutan,Lower-middle-income economies,BT,BTN,Value Yield,2016,3317.83,5207013,12
Bolivia (Plurinational State of),Lower-middle-income economies,BO,BOL,Value Prod,2008,46902.01,82415151,8870
Bolivia (Plurinational State of),Lower-middle-income economies,BO,BOL,Value Yield,2008,46902.01,5351647,8870
India,Lower-middle-income economies,IN,IND,Value Prod,2009,49166720,5255048806,28707
India,Lower-middle-income economies,IN,IND,Value Yield,2009,49166720,8537060,28707
Bhutan,Lower-middle-income economies,BT,BTN,Value Prod,2005,2085,3330824,2
Bhutan,Lower-middle-income economies,BT,BTN,Value Yield,2005,2085,4587100,2
Bangladesh,Lower-middle-income economies,BD,BGD,Value Prod,2018,4862000,500945880,15144
Bangladesh,Lower-middle-income economies,BD,BGD,Value Yield,2018,4862000,6264636,15144
Switzerland,High-income economies,CH,CHE,Value Prod,2008,239898,23517234,2279
Switzerland,High-income economies,CH,CHE,Value Yield,2008,239898,10475670,2279
Slovakia,High-income economies,SK,SVK,Value Prod,2009,55671,29395770,1654
Slovakia,High-income economies,SK,SVK,Value Yield,2009,55671,5812074,1654
Tunisia,Lower-middle-income economies,TN,TUN,Value Prod,2003,244674.62,36883950,956
Tunisia,Lower-middle-income economies,TN,TUN,Value Yield,2003,244674.62,3657353,956
Egypt,Lower-middle-income economies,EG,EGY,Value Prod,2014,5424000,637578361,11363
Egypt,Lower-middle-income economies,EG,EGY,Value Yield,2014,5424000,13257685,11363
Dominican Republic,Upper-middle-income economies,DO,DOM,Value Prod,2007,227867.77,60594191,5690
Dominican Republic,Upper-middle-income economies,DO,DOM,Value Yield,2007,227867.77,7301399,5690
Greece,High-income economies,GR,GRC,Value Prod,2007,509610,101503605,7346
Greece,High-income economies,GR,GRC,Value Yield,2007,509610,9911433,7346
Kenya,Lower-middle-income economies,KE,KEN,Value Prod,2003,340881,97322736,1578
Kenya,Lower-middle-income economies,KE,KEN,Value Yield,2003,340881,8840223,1578
Costa Rica,Upper-middle-income economies,CR,CRI,Value Prod,2002,253303,60725616,11982
Costa Rica,Upper-middle-income economies,CR,CRI,Value Yield,2002,253303,11157706,11982
Latvia,High-income economies,LV,LVA,Value Prod,2017,338022,13076440,1478
Latvia,High-income economies,LV,LVA,Value Yield,2017,338022,2205705,1478
Ecuador,Upper-middle-income economies,EC,ECU,Value Prod,2015,609721.26,142016616,44565
Ecuador,Upper-middle-income economies,EC,ECU,Value Yield,2015,609721.26,8540736,44565
Oman,High-income economies,OM,OMN,Value Prod,2017,30000,7339362,275
Oman,High-income economies,OM,OMN,Value Yield,2017,30000,5919192,275
Jamaica,Upper-middle-income economies,JM,JAM,Value Prod,2011,20844,15214092,621
Jamaica,Upper-middle-income economies,JM,JAM,Value Yield,2011,20844,6752910,621
Denmark,High-income economies,DK,DNK,Value Prod,2005,497889,83697618,3246
Denmark,High-income economies,DK,DNK,Value Yield,2005,497889,8640042,3246
Slovakia,High-income economies,SK,SVK,Value Prod,2004,53969,37782828,1573
Slovakia,High-income economies,SK,SVK,Value Yield,2004,53969,5055834,1573
Angola,Lower-middle-income economies,AO,AGO,Value Prod,2006,30933,90366052,40
Angola,Lower-middle-income economies,AO,AGO,Value Yield,2006,30933,5403881,40
Belize,Upper-middle-income economies,BZ,BLZ,Value Prod,2009,17750,11611089,789
Belize,Upper-middle-income economies,BZ,BLZ,Value Yield,2009,17750,6347446,789
Iran (Islamic Republic of),Upper-middle-income economies,IR,IRN,Value Prod,2008,3341035,370053180,3017
Iran (Islamic Republic of),Upper-middle-income economies,IR,IRN,Value Yield,2008,3341035,8566362,3017
Indonesia,Lower-middle-income economies,ID,IDN,Value Prod,2002,5310492,881473474,1597
Indonesia,Lower-middle-income economies,ID,IDN,Value Yield,2002,5310492,8632680,1597
Canada,High-income economies,CA,CAN,Value Prod,2007,24167000,283696390,45140
Canada,High-income economies,CA,CAN,Value Yield,2007,24167000,5051855,45140
Paraguay,Upper-middle-income economies,PY,PRY,Value Prod,2003,438405,67522560,12923
Paraguay,Upper-middle-income economies,PY,PRY,Value Yield,2003,438405,6191898,12923
Australia,High-income economies,AU,AUS,Value Prod,2003,3349354,433017564,32418
Australia,High-income economies,AU,AUS,Value Yield,2003,3349354,12637835,32418
Nepal,Low income economies,NP,NPL,Value Prod,2009,79724,121890167,210
Nepal,Low income economies,NP,NPL,Value Yield,2009,79724,6448778,210
Albania,Upper-middle-income economies,AL,ALB,Value Prod,2012,125008,16686502,362
Albania,Upper-middle-income economies,AL,ALB,Value Yield,2012,125008,8436141,362
Brazil,Upper-middle-income economies,BR,BRA,Value Prod,2008,23177103,5783608012,312637
Brazil,Upper-middle-income economies,BR,BRA,Value Yield,2008,23177103,11057935,312637
Guyana,Upper-middle-income economies,GY,GUY,Value Prod,2009,19056,20809242,264
Guyana,Upper-middle-income economies,GY,GUY,Value Yield,2009,19056,5194080,264
Uganda,Low income economies,UG,UGA,Value Prod,2003,19564,121515000,88
Uganda,Low income economies,UG,UGA,Value Yield,2003,19564,4309595,88
Brazil,Upper-middle-income economies,BR,BRA,Value Prod,2005,19323043,4021325973,232232
Brazil,Upper-middle-income economies,BR,BRA,Value Yield,2005,19323043,10386012,232232
Brazil,Upper-middle-income economies,BR,BRA,Value Prod,2016,14347576,6621748840,377176
Brazil,Upper-middle-income economies,BR,BRA,Value Yield,2016,14347576,11407011,377176
Latvia,High-income economies,LV,LVA,Value Prod,2012,279164,11349848,1397
Latvia,High-income economies,LV,LVA,Value Yield,2012,279164,2100035,1397
Indonesia,Lower-middle-income economies,ID,IDN,Value Prod,2017,9560207,1207047695,1597
Indonesia,Lower-middle-income economies,ID,IDN,Value Yield,2017,9560207,10958213,1597
Albania,Upper-middle-income economies,AL,ALB,Value Prod,2016,168492,18689958,584
Albania,Upper-middle-income economies,AL,ALB,Value Yield,2016,168492,9906169,584
Oman,High-income economies,OM,OMN,Value Prod,2006,17140,3261576,172
Oman,High-income economies,OM,OMN,Value Yield,2006,17140,5117718,172
Albania,Upper-middle-income economies,AL,ALB,Value Prod,2005,146091,11505823,365
Albania,Upper-middle-income economies,AL,ALB,Value Yield,2005,146091,6014631,365
Iran (Islamic Republic of),Upper-middle-income economies,IR,IRN,Value Prod,2014,2983147,503887979,6610
Iran (Islamic Republic of),Upper-middle-income economies,IR,IRN,Value Yield,2014,2983147,11035003,6610
Estonia,High-income economies,EE,EST,Value Prod,2005,113726,4209732,386
Estonia,High-income economies,EE,EST,Value Yield,2005,113726,1921525,386
Uganda,Low income economies,UG,UGA,Value Prod,2008,23006,82653160,88
Uganda,Low income economies,UG,UGA,Value Yield,2008,23006,4356790,88
Australia,High-income economies,AU,AUS,Value Prod,2002,3150982,542402343,26651
Australia,High-income economies,AU,AUS,Value Yield,2002,3150982,12183171,26651
France,High-income economies,FR,FRA,Value Prod,2010,918200,829917235,61903
France,High-income economies,FR,FRA,Value Yield,2010,918200,12265176,61903
Latvia,High-income economies,LV,LVA,Value Prod,2003,111823,12346820,478
Latvia,High-income economies,LV,LVA,Value Yield,2003,111823,3508220,478
Kyrgyzstan,Lower-middle-income economies,KG,KGZ,Value Prod,2008,857.9,28205765,663
Kyrgyzstan,Lower-middle-income economies,KG,KGZ,Value Yield,2008,857.9,5453875,663
Angola,Lower-middle-income economies,AO,AGO,Value Prod,2011,105877.59,157023776,40
Angola,Lower-middle-income economies,AO,AGO,Value Yield,2011,105877.59,6324535,40
Belize,Upper-middle-income economies,BZ,BLZ,Value Prod,2004,37326,12987723,1150
Belize,Upper-middle-income economies,BZ,BLZ,Value Yield,2004,37326,7534240,1150
Portugal,High-income economies,PT,PRT,Value Prod,2002,144666,52085558,17452
Portugal,High-income economies,PT,PRT,Value Yield,2002,144666,9636053,17452
Austria,High-income economies,AT,AUT,Value Prod,2009,342575,53662935,3532
Austria,High-income economies,AT,AUT,Value Yield,2009,342575,9927360,3532
"China, Taiwan Province of",High-income economies,TW,TWN,Value Prod,2015,922158,49534962,9296
"China, Taiwan Province of",High-income economies,TW,TWN,Value Yield,2015,922158,9242142,9296
Mauritius,Upper-middle-income economies,MU,MUS,Value Prod,2018,34067,19554396,2208
Mauritius,Upper-middle-income economies,MU,MUS,Value Yield,2018,34067,8284507,2208
French Polynesia,High-income economies,PF,PYF,Value Prod,2009,1233,175795,45
French Polynesia,High-income economies,PF,PYF,Value Yield,2009,1233,6242220,45
Malawi,Low income economies,MW,MWI,Value Prod,2005,240152,82743178,296
Malawi,Low income economies,MW,MWI,Value Yield,2005,240152,10607450,296
Niger,Low income economies,NE,NER,Value Prod,2005,17790,25971840,25
Niger,Low income economies,NE,NER,Value Yield,2005,17790,4544980,25
Portugal,High-income economies,PT,PRT,Value Prod,2009,469578,43906898,13985
Portugal,High-income economies,PT,PRT,Value Yield,2009,469578,9171071,13985
Canada,High-income economies,CA,CAN,Value Prod,2017,8291000,331505710,90839
Canada,High-income economies,CA,CAN,Value Yield,2017,8291000,7675385,90839
Tunisia,Lower-middle-income economies,TN,TUN,Value Prod,2010,366746.6,37125522,1003
Tunisia,Lower-middle-income economies,TN,TUN,Value Yield,2010,366746.6,4076639,1003
Egypt,Lower-middle-income economies,EG,EGY,Value Prod,2007,234000,552398105,9105
Egypt,Lower-middle-income economies,EG,EGY,Value Yield,2007,234000,13615252,9105
Syrian Arab Republic,Low income economies,SY,SYR,Value Prod,2005,14922,90967968,1422
Syrian Arab Republic,Low income economies,SY,SYR,Value Yield,2005,14922,8767311,1422
Switzerland,High-income economies,CH,CHE,Value Prod,2005,224610,22209288,1388
Switzerland,High-income economies,CH,CHE,Value Yield,2005,224610,9973176,1388
Switzerland,High-income economies,CH,CHE,Value Prod,2016,236654.62,19363494,2200
Switzerland,High-income economies,CH,CHE,Value Yield,2016,236654.62,9130860,2200
Austria,High-income economies,AT,AUT,Value Prod,2004,206247,53197765,3302
Austria,High-income economies,AT,AUT,Value Yield,2004,206247,9688470,3302
North Macedonia,Upper-middle-income economies,MK,MKD,Value Prod,2010,72835,11889312,98
North Macedonia,Upper-middle-income economies,MK,MKD,Value Yield,2010,72835,4448946,98
Italy,High-income economies,IT,ITA,Value Prod,2017,1898901,365412089,56641
Italy,High-income economies,IT,ITA,Value Yield,2017,1898901,11190648,56641
India,Lower-middle-income economies,IN,IND,Value Prod,2008,45232700,5805387994,14485
India,Lower-middle-income economies,IN,IND,Value Yield,2008,45232700,8905351,14485
Bhutan,Lower-middle-income economies,BT,BTN,Value Prod,2017,4297.74,3074645,3
Bhutan,Lower-middle-income economies,BT,BTN,Value Yield,2017,4297.74,5330136,3
Bhutan,Lower-middle-income economies,BT,BTN,Value Prod,2004,2833,2826453,7
Bhutan,Lower-middle-income economies,BT,BTN,Value Yield,2004,2833,4874415,7
Mexico,Upper-middle-income economies,MX,MEX,Value Prod,2017,7778873,1001220059,50802
Mexico,Upper-middle-income economies,MX,MEX,Value Yield,2017,7778873,11134543,50802
Mexico,Upper-middle-income economies,MX,MEX,Value Prod,2004,3354026,814618364,18508
Mexico,Upper-middle-income economies,MX,MEX,Value Yield,2004,3354026,10272339,18508
Algeria,Upper-middle-income economies,DZ,DZA,Value Prod,2009,190294,98887878,3168
Algeria,Upper-middle-income economies,DZ,DZA,Value Yield,2009,190294,4747001,3168
Turkey,Upper-middle-income economies,TR,TUR,Value Prod,2009,5494834,704107964,37651
